bob
caseNumber,groupName,identityName,class,placeOfRescue,zoneName,zoneName2,dateAdded,rescueNotes,facility,dateOfAdmission,timeOfAdmission,food,housing,medicalCare,proposedResolution,otherResolution,ageYears,ageMonths,stage,weight,length,height,dateOfExamination,modeOfRestraint,temperature,heartRate,pulse,resperation,observationNotes,outcomeNotes,createdBy,lastUpdatedAt,lastUpdatedBy
f4f76f91-b3ea-4510-8f37-b859ec1abd2d,Owl,Elephant,Mamalia,Pune,MVS-CA,MVS-EA,Mon Feb 10 2014 22:18:08 GMT+0000 (Greenwich Mean Time),None,Unknown,21-02-2013},10:30},None,,,,,6,7,neonate,78kg,291cm,120cm,Sat Jul 20 2013 07:02:15 GMT+0100 (British Summer Time),None,None,120,Yes,None,None,None,,Thu Jul 26 2018 03:13:45 GMT+0100 (British Summer Time),
8bc6301f-8456-44b9-81aa-28031c8402c1,Deer,Eagle,Aves,Pune,MVS-CA,MVS-CA,Thu Oct 30 2014 05:00:27 GMT+0000 (Greenwich Mean Time),None,Unknown,11-03-2014},21:08},None,,,,,8,5,infant,94kg,264cm,56cm,Tue Mar 12 2019 15:14:56 GMT+0000 (Greenwich Mean Time),None,None,101,Yes,None,None,None,,Tue Sep 18 2018 00:09:58 GMT+0100 (British Summer Time),
9c75543a-cb0f-4b86-aa56-cd1565c139d1,Deer,Reptile,Mamalia,Bengal,MVS-CA,MVS-EA,Fri Jun 10 2016 04:05:38 GMT+0100 (British Summer Time),None,Unknown,18-12-2019},02:34},None,,,,,9,4,infant,75kg,153cm,51cm,Mon Sep 16 2019 06:27:46 GMT+0100 (British Summer Time),None,None,98,Yes,None,None,None,,Mon Feb 23 2015 07:47:08 GMT+0000 (Greenwich Mean Time),
b429b30f-0893-4a09-bfa8-e0b88f777865,Elephant,Reptile,Mamalia,Chenai,MVS-CA,MVS-EA,Tue Sep 14 2010 20:20:27 GMT+0100 (British Summer Time),None,Unknown,01-09-2013},11:25},None,,,,,3,3,adult,72kg,64cm,134cm,Thu Feb 21 2013 06:41:29 GMT+0000 (Greenwich Mean Time),None,None,122,Yes,None,None,None,,Thu Apr 29 2021 05:41:01 GMT+0100 (British Summer Time),
35ccb022-99e7-4cfc-b601-8a7834a7977d,Deer,Tiger,Mamalia,Pune,MVS-CA,MVS-EA,Thu May 07 2020 12:08:25 GMT+0100 (British Summer Time),None,Unknown,12-06-2014},01:56},None,,,,,9,11,infant,83kg,44cm,146cm,Mon Oct 10 2016 00:48:08 GMT+0100 (British Summer Time),None,None,112,Yes,None,None,None,,Wed May 03 2017 17:55:48 GMT+0100 (British Summer Time),
8fc7d650-65e5-4ae2-a60d-f231e2f79ca2,Monkey,Eagle,Reptilia,Hydrabad,MVS-CA,MVS-EA,Wed Jun 10 2020 12:47:55 GMT+0100 (British Summer Time),None,Unknown,17-01-2019},10:51},None,,,,,7,3,neonate,69kg,47cm,58cm,Sun Jul 21 2013 20:50:39 GMT+0100 (British Summer Time),None,None,127,Yes,None,None,None,,Fri Jan 29 2010 14:33:31 GMT+0000 (Greenwich Mean Time),
763d8701-5147-4ea2-97d8-ad7c7ef0966a,Deer,Elephant,Reptilia,Bombay,MVS-CA,MVS-EA,Sun Jul 10 2016 01:38:52 GMT+0100 (British Summer Time),None,Unknown,30-01-2021},15:33},None,,,,,10,6,neonate,38kg,150cm,143cm,Mon Sep 24 2018 13:40:15 GMT+0100 (British Summer Time),None,None,133,Yes,None,None,None,,Sun Jul 11 2010 18:52:40 GMT+0100 (British Summer Time),
64cfd3c6-55d7-4dcd-9826-695e599598b2,Monkey,Elephant,Reptilia,Bombay,MVS-EA,MVS-CA,Wed May 07 2014 17:49:42 GMT+0100 (British Summer Time),None,Unknown,02-06-2015},03:31},None,,,,,10,6,infant,90kg,161cm,55cm,Tue Aug 30 2016 23:21:12 GMT+0100 (British Summer Time),None,None,139,Yes,None,None,None,,Fri Oct 09 2020 04:22:05 GMT+0100 (British Summer Time),
46671519-8904-49ca-8812-e8dc03cd26e9,Monkey,Reptile,Reptilia,Pune,MVS-NB,MVS-NB,Tue Jan 15 2019 05:13:50 GMT+0000 (Greenwich Mean Time),None,Unknown,24-04-2010},20:39},None,,,,,14,5,adult,77kg,94cm,24cm,Mon Mar 11 2019 01:27:50 GMT+0000 (Greenwich Mean Time),None,None,150,Yes,None,None,None,,Mon Jun 04 2012 12:45:00 GMT+0100 (British Summer Time),
f80b2928-2d33-4a92-93d1-9e38c592282f,Elephant,Elephant,Aves,Hydrabad,MVS-NB,MVS-EA,Sat Oct 29 2016 05:35:52 GMT+0100 (British Summer Time),None,Unknown,18-11-2020},00:16},None,,,,,1,8,infant,149kg,253cm,84cm,Mon May 23 2016 14:26:13 GMT+0100 (British Summer Time),None,None,70,Yes,None,None,None,,Tue Feb 22 2011 07:20:00 GMT+0000 (Greenwich Mean Time),
5680f70c-494a-4849-a486-1c595c08755d,Eagle,Deer,Reptilia,Delhi,MVS-EA,MVS-NB,Sat Oct 01 2016 11:00:36 GMT+0100 (British Summer Time),None,Unknown,24-07-2017},15:33},None,,,,,7,11,adult,128kg,184cm,105cm,Fri Nov 10 2017 15:23:37 GMT+0000 (Greenwich Mean Time),None,None,131,Yes,None,None,None,,Fri Sep 19 2014 18:26:11 GMT+0100 (British Summer Time),
6c29a64e-3e0d-4155-b50b-fa452084fec6,Turtle,Deer,Aves,Bombay,MVS-CA,MVS-CA,Sat Jul 13 2013 15:25:08 GMT+0100 (British Summer Time),None,Unknown,02-01-2020},14:05},None,,,,,6,11,neonate,32kg,160cm,123cm,Fri Dec 09 2011 00:21:44 GMT+0000 (Greenwich Mean Time),None,None,101,Yes,None,None,None,,Wed Jan 04 2012 15:35:55 GMT+0000 (Greenwich Mean Time),
3b23193b-cdc6-4e58-ad9c-60a2aeaff8ff,Elephant,Reptile,Aves,Delhi,MVS-EA,MVS-CA,Tue Sep 16 2014 01:06:31 GMT+0100 (British Summer Time),None,Unknown,07-01-2012},01:39},None,,,,,15,11,neonate,119kg,281cm,109cm,Thu Dec 21 2017 12:19:44 GMT+0000 (Greenwich Mean Time),None,None,120,Yes,None,None,None,,Mon Nov 05 2018 20:02:08 GMT+0000 (Greenwich Mean Time),
230dd3eb-59ae-42c6-bd38-460b392d91ff,Elephant,Elephant,Mamalia,Chenai,MVS-CA,MVS-NB,Sat Jul 12 2014 11:13:24 GMT+0100 (British Summer Time),None,Unknown,03-07-2015},15:22},None,,,,,6,9,infant,119kg,188cm,110cm,Wed Aug 10 2011 04:41:14 GMT+0100 (British Summer Time),None,None,68,Yes,None,None,None,,Thu Nov 29 2012 16:55:54 GMT+0000 (Greenwich Mean Time),
0bda399c-f754-45fd-a78a-73ea56e336f9,Elephant,Turtle,Mamalia,Bengal,MVS-NB,MVS-NB,Sat Jun 04 2011 14:18:08 GMT+0100 (British Summer Time),None,Unknown,20-02-2011},13:34},None,,,,,7,1,subadult,81kg,247cm,89cm,Sat Dec 18 2010 18:55:44 GMT+0000 (Greenwich Mean Time),None,None,58,Yes,None,None,None,,Sun Oct 17 2010 18:08:13 GMT+0100 (British Summer Time),
426859ab-47d4-4d99-9ad5-76a0dabdfa22,Reptile,Elephant,Mamalia,Bombay,MVS-EA,MVS-CA,Fri Dec 27 2013 21:42:33 GMT+0000 (Greenwich Mean Time),None,Unknown,30-04-2018},16:01},None,,,,,4,9,adult,25kg,97cm,75cm,Thu Aug 21 2014 14:43:33 GMT+0100 (British Summer Time),None,None,53,Yes,None,None,None,,Mon Jun 29 2020 06:30:56 GMT+0100 (British Summer Time),
946a7465-03fa-4b77-bb25-f74cc1e5af83,Tiger,Turtle,Reptilia,Bombay,MVS-NB,MVS-EA,Wed Mar 27 2019 04:29:34 GMT+0000 (Greenwich Mean Time),None,Unknown,15-04-2021},03:48},None,,,,,12,8,infant,93kg,123cm,89cm,Sun Jun 03 2018 11:07:46 GMT+0100 (British Summer Time),None,None,53,Yes,None,None,None,,Thu Jul 15 2010 07:54:54 GMT+0100 (British Summer Time),
d9fe30bd-515c-4acf-bf94-8671bee354ff,Deer,Eagle,Aves,Hydrabad,MVS-CA,MVS-EA,Tue Apr 10 2018 10:18:30 GMT+0100 (British Summer Time),None,Unknown,09-12-2012},18:54},None,,,,,11,4,subadult,116kg,281cm,61cm,Wed Sep 12 2012 22:14:18 GMT+0100 (British Summer Time),None,None,145,Yes,None,None,None,,Mon Mar 11 2013 11:10:00 GMT+0000 (Greenwich Mean Time),
6b4558ca-ff34-4ce0-8211-9f773f19472f,Tiger,Owl,Reptilia,Bengal,MVS-CA,MVS-NB,Fri Oct 27 2017 07:26:55 GMT+0100 (British Summer Time),None,Unknown,09-01-2019},13:54},None,,,,,3,6,adult,38kg,76cm,23cm,Wed Sep 14 2011 13:27:49 GMT+0100 (British Summer Time),None,None,137,Yes,None,None,None,,Sun Aug 07 2016 04:12:02 GMT+0100 (British Summer Time),
f11e31c3-0633-4965-b20c-1046c08c49d0,Monkey,Turtle,Reptilia,Chenai,MVS-EA,MVS-EA,Sun Apr 22 2012 04:56:26 GMT+0100 (British Summer Time),None,Unknown,08-02-2016},08:14},None,,,,,2,7,adult,150kg,36cm,120cm,Mon Sep 20 2010 07:00:31 GMT+0100 (British Summer Time),None,None,112,Yes,None,None,None,,Thu Jul 04 2019 03:00:33 GMT+0100 (British Summer Time),
3c3086ee-53ca-4d05-904c-99c4648fa6e2,Monkey,Reptile,Mamalia,Bombay,MVS-EA,MVS-EA,Tue Sep 30 2014 23:56:22 GMT+0100 (British Summer Time),None,Unknown,08-06-2020},00:33},None,,,,,3,3,infant,132kg,175cm,91cm,Sun Jul 20 2014 02:24:17 GMT+0100 (British Summer Time),None,None,94,Yes,None,None,None,,Mon Oct 25 2010 14:22:53 GMT+0100 (British Summer Time),
119ee56f-eece-4823-8fbe-0fd938fa0684,Elephant,Owl,Aves,Pune,MVS-CA,MVS-EA,Thu Oct 13 2016 06:38:28 GMT+0100 (British Summer Time),None,Unknown,08-03-2020},04:20},None,,,,,13,9,neonate,55kg,142cm,125cm,Sat Sep 01 2018 09:16:23 GMT+0100 (British Summer Time),None,None,87,Yes,None,None,None,,Fri Dec 13 2013 10:53:18 GMT+0000 (Greenwich Mean Time),
892ef167-6cb3-41f8-a3e0-d3dca58d74b8,Turtle,Monkey,Reptilia,Pune,MVS-EA,MVS-NB,Wed Aug 02 2017 20:43:44 GMT+0100 (British Summer Time),None,Unknown,06-07-2012},05:01},None,,,,,13,3,subadult,32kg,273cm,29cm,Mon Feb 06 2012 07:05:38 GMT+0000 (Greenwich Mean Time),None,None,92,Yes,None,None,None,,Sat Dec 06 2014 08:35:19 GMT+0000 (Greenwich Mean Time),
861acafc-478c-4c15-9023-d522792ae85c,Tiger,Deer,Aves,Pune,MVS-NB,MVS-EA,Sat Jul 10 2010 08:46:33 GMT+0100 (British Summer Time),None,Unknown,17-06-2016},02:23},None,,,,,15,4,infant,106kg,35cm,40cm,Sat Feb 23 2019 11:50:11 GMT+0000 (Greenwich Mean Time),None,None,110,Yes,None,None,None,,Thu Oct 31 2013 12:55:55 GMT+0000 (Greenwich Mean Time),
6f3f38c1-1952-46d6-8b8c-6b87bb23647d,Monkey,Owl,Mamalia,Bengal,MVS-NB,MVS-CA,Thu Mar 28 2019 04:51:18 GMT+0000 (Greenwich Mean Time),None,Unknown,09-04-2010},08:55},None,,,,,1,1,neonate,55kg,275cm,143cm,Mon Jun 17 2013 20:48:30 GMT+0100 (British Summer Time),None,None,100,Yes,None,None,None,,Wed Nov 17 2010 13:29:29 GMT+0000 (Greenwich Mean Time),
fe4a590d-40c6-473b-a59e-15f16f5ade3a,Owl,Reptile,Reptilia,Bengal,MVS-CA,MVS-EA,Sun Dec 13 2020 21:09:44 GMT+0000 (Greenwich Mean Time),None,Unknown,09-06-2016},23:47},None,,,,,3,1,neonate,29kg,172cm,35cm,Thu Feb 01 2018 07:56:52 GMT+0000 (Greenwich Mean Time),None,None,72,Yes,None,None,None,,Wed Apr 10 2013 14:16:12 GMT+0100 (British Summer Time),
0377bae1-903d-4dfb-8b8f-b8d12f89abda,Owl,Turtle,Mamalia,Bengal,MVS-CA,MVS-EA,Wed Aug 28 2019 09:06:36 GMT+0100 (British Summer Time),None,Unknown,04-02-2010},09:54},None,,,,,13,9,infant,99kg,117cm,134cm,Tue Nov 29 2016 14:32:55 GMT+0000 (Greenwich Mean Time),None,None,78,Yes,None,None,None,,Sat Mar 26 2016 02:47:19 GMT+0000 (Greenwich Mean Time),
1d79bbf8-32e5-4786-9e92-45f9ab4add1b,Monkey,Tiger,Aves,Chenai,MVS-NB,MVS-NB,Wed Apr 06 2011 07:10:00 GMT+0100 (British Summer Time),None,Unknown,20-04-2014},00:12},None,,,,,12,9,adult,78kg,115cm,20cm,Sun Oct 15 2017 10:49:53 GMT+0100 (British Summer Time),None,None,122,Yes,None,None,None,,Sun Mar 15 2015 14:43:36 GMT+0000 (Greenwich Mean Time),
c37f4d6e-4dfa-46b8-bd67-d118e355e58f,Eagle,Reptile,Aves,Hydrabad,MVS-CA,MVS-NB,Tue Jan 12 2010 18:20:14 GMT+0000 (Greenwich Mean Time),None,Unknown,25-10-2017},10:37},None,,,,,9,8,subadult,87kg,264cm,142cm,Sun May 17 2020 22:34:36 GMT+0100 (British Summer Time),None,None,103,Yes,None,None,None,,Sun Jan 24 2016 23:38:45 GMT+0000 (Greenwich Mean Time),
e8fe938b-9328-4c66-96e5-4eede4b91577,Turtle,Tiger,Mamalia,Bombay,MVS-NB,MVS-CA,Thu Oct 30 2014 13:19:35 GMT+0000 (Greenwich Mean Time),None,Unknown,08-02-2017},21:39},None,,,,,13,5,neonate,121kg,109cm,146cm,Sun Feb 09 2020 00:25:18 GMT+0000 (Greenwich Mean Time),None,None,117,Yes,None,None,None,,Fri Jan 22 2016 02:44:19 GMT+0000 (Greenwich Mean Time),
b0615174-e1fd-48e9-8ec5-61113b2f4175,Eagle,Tiger,Reptilia,Bengal,MVS-EA,MVS-CA,Wed Aug 07 2013 09:37:53 GMT+0100 (British Summer Time),None,Unknown,19-01-2011},13:13},None,,,,,3,1,adult,61kg,199cm,28cm,Tue Nov 16 2010 20:56:49 GMT+0000 (Greenwich Mean Time),None,None,102,Yes,None,None,None,,Sat Jun 17 2017 14:09:45 GMT+0100 (British Summer Time),
eb999393-dc42-4e5c-9474-49942744ffd4,Eagle,Eagle,Mamalia,Delhi,MVS-CA,MVS-EA,Fri Dec 26 2014 04:12:12 GMT+0000 (Greenwich Mean Time),None,Unknown,16-12-2013},22:29},None,,,,,6,4,infant,103kg,22cm,40cm,Wed Feb 16 2011 02:01:32 GMT+0000 (Greenwich Mean Time),None,None,60,Yes,None,None,None,,Sun Feb 12 2017 13:45:43 GMT+0000 (Greenwich Mean Time),
9e660590-99c3-4de2-a24a-96b18a9fa223,Eagle,Owl,Reptilia,Bombay,MVS-NB,MVS-EA,Mon Jul 16 2012 13:24:02 GMT+0100 (British Summer Time),None,Unknown,30-03-2010},23:53},None,,,,,10,4,subadult,96kg,32cm,113cm,Wed Aug 01 2012 17:38:33 GMT+0100 (British Summer Time),None,None,123,Yes,None,None,None,,Wed Feb 05 2014 11:35:09 GMT+0000 (Greenwich Mean Time),
75b62fd2-b562-48b1-910a-c14fe1bcf567,Tiger,Turtle,Mamalia,Bengal,MVS-EA,MVS-NB,Tue Nov 07 2017 22:52:35 GMT+0000 (Greenwich Mean Time),None,Unknown,28-08-2020},03:59},None,,,,,3,8,subadult,68kg,298cm,33cm,Fri Jan 08 2016 22:06:38 GMT+0000 (Greenwich Mean Time),None,None,83,Yes,None,None,None,,Wed May 13 2015 01:35:39 GMT+0100 (British Summer Time),
3425fec9-6177-44df-8ca6-a237ea9d7f3b,Turtle,Elephant,Aves,Bengal,MVS-CA,MVS-CA,Wed Aug 25 2010 20:44:54 GMT+0100 (British Summer Time),None,Unknown,04-04-2012},11:05},None,,,,,12,8,adult,73kg,43cm,55cm,Sun Jun 04 2017 16:23:44 GMT+0100 (British Summer Time),None,None,71,Yes,None,None,None,,Sat Sep 15 2018 10:09:12 GMT+0100 (British Summer Time),
12f1fe93-5cd6-4b83-a910-c256037ec946,Deer,Elephant,Mamalia,Hydrabad,MVS-CA,MVS-CA,Mon Jan 13 2014 00:58:40 GMT+0000 (Greenwich Mean Time),None,Unknown,02-08-2018},01:44},None,,,,,3,2,adult,106kg,119cm,103cm,Mon Dec 23 2013 09:23:58 GMT+0000 (Greenwich Mean Time),None,None,143,Yes,None,None,None,,Thu Dec 22 2011 01:46:56 GMT+0000 (Greenwich Mean Time),
0279a010-13eb-4ded-adcf-47efc4c6b303,Turtle,Owl,Aves,Pune,MVS-NB,MVS-CA,Sun Dec 11 2011 13:28:09 GMT+0000 (Greenwich Mean Time),None,Unknown,11-07-2011},23:19},None,,,,,1,8,subadult,87kg,107cm,74cm,Sat May 20 2017 02:12:36 GMT+0100 (British Summer Time),None,None,136,Yes,None,None,None,,Fri Feb 01 2013 00:55:57 GMT+0000 (Greenwich Mean Time),
3219f99c-5b02-4ea5-98a3-855cf2443523,Deer,Turtle,Reptilia,Delhi,MVS-CA,MVS-NB,Sat Mar 25 2017 16:12:08 GMT+0000 (Greenwich Mean Time),None,Unknown,25-05-2018},02:10},None,,,,,4,9,subadult,92kg,222cm,67cm,Sat Apr 09 2016 07:17:27 GMT+0100 (British Summer Time),None,None,96,Yes,None,None,None,,Wed Jan 20 2021 14:08:39 GMT+0000 (Greenwich Mean Time),
697f89d6-3c89-49da-95cb-45de3b9123e1,Owl,Eagle,Aves,Bengal,MVS-CA,MVS-CA,Sun Jul 19 2020 19:29:34 GMT+0100 (British Summer Time),None,Unknown,07-07-2012},20:54},None,,,,,12,3,adult,23kg,148cm,128cm,Wed Nov 27 2019 19:18:54 GMT+0000 (Greenwich Mean Time),None,None,126,Yes,None,None,None,,Fri Jun 28 2013 10:50:18 GMT+0100 (British Summer Time),
8b79f81e-55d0-4184-90d4-f3d5bbecc495,Elephant,Elephant,Mamalia,Bengal,MVS-EA,MVS-EA,Fri Jun 02 2017 06:34:24 GMT+0100 (British Summer Time),None,Unknown,26-10-2013},03:04},None,,,,,14,9,adult,96kg,21cm,80cm,Sun Feb 21 2016 01:05:27 GMT+0000 (Greenwich Mean Time),None,None,134,Yes,None,None,None,,Sun Nov 24 2013 17:38:15 GMT+0000 (Greenwich Mean Time),
599c1f2c-fc5d-42ce-b532-056e8c4db8e7,Deer,Tiger,Reptilia,Pune,MVS-CA,MVS-NB,Sun Aug 30 2020 22:55:37 GMT+0100 (British Summer Time),None,Unknown,04-04-2011},04:13},None,,,,,9,4,adult,102kg,66cm,33cm,Tue Jul 26 2016 12:45:32 GMT+0100 (British Summer Time),None,None,127,Yes,None,None,None,,Wed Dec 11 2013 12:28:57 GMT+0000 (Greenwich Mean Time),
6f32ed95-66be-463f-9f73-1dbff73fd62d,Deer,Tiger,Mamalia,Delhi,MVS-CA,MVS-CA,Thu Nov 03 2016 02:14:03 GMT+0000 (Greenwich Mean Time),None,Unknown,11-09-2010},10:46},None,,,,,6,3,subadult,80kg,295cm,140cm,Wed Oct 20 2010 05:19:25 GMT+0100 (British Summer Time),None,None,67,Yes,None,None,None,,Wed Apr 03 2013 11:10:55 GMT+0100 (British Summer Time),
15714c05-6a0e-4993-ad4f-f8f0e929e236,Turtle,Elephant,Mamalia,Chenai,MVS-NB,MVS-CA,Fri May 04 2012 19:13:34 GMT+0100 (British Summer Time),None,Unknown,24-06-2011},09:24},None,,,,,7,3,adult,139kg,84cm,23cm,Fri Jan 01 2010 20:02:01 GMT+0000 (Greenwich Mean Time),None,None,56,Yes,None,None,None,,Sat Oct 17 2020 03:42:06 GMT+0100 (British Summer Time),
040aa5c5-0a83-4e2c-b35e-1e28c6dff6f1,Eagle,Monkey,Mamalia,Pune,MVS-NB,MVS-EA,Sat Jul 13 2019 12:24:45 GMT+0100 (British Summer Time),None,Unknown,10-08-2014},14:33},None,,,,,13,11,subadult,123kg,23cm,112cm,Wed Mar 07 2012 21:45:59 GMT+0000 (Greenwich Mean Time),None,None,55,Yes,None,None,None,,Wed Jan 20 2010 08:51:27 GMT+0000 (Greenwich Mean Time),
a9229fd9-4d8e-4e90-8679-77bcfce98d28,Tiger,Owl,Reptilia,Hydrabad,MVS-CA,MVS-EA,Thu Jan 03 2019 09:29:28 GMT+0000 (Greenwich Mean Time),None,Unknown,28-07-2011},15:57},None,,,,,13,2,adult,113kg,170cm,120cm,Sat Apr 06 2019 10:02:43 GMT+0100 (British Summer Time),None,None,137,Yes,None,None,None,,Thu May 06 2021 22:41:17 GMT+0100 (British Summer Time),
2733b81d-5888-4a64-8f9a-f987f27315a8,Turtle,Tiger,Mamalia,Delhi,MVS-EA,MVS-EA,Sat Dec 20 2014 11:49:03 GMT+0000 (Greenwich Mean Time),None,Unknown,30-09-2015},22:27},None,,,,,11,9,neonate,72kg,238cm,45cm,Thu Jul 01 2010 20:03:14 GMT+0100 (British Summer Time),None,None,107,Yes,None,None,None,,Mon May 11 2015 02:38:23 GMT+0100 (British Summer Time),
399250bd-c11a-40cf-8701-573a72c9479c,Reptile,Monkey,Aves,Delhi,MVS-EA,MVS-EA,Fri Jul 30 2010 03:26:58 GMT+0100 (British Summer Time),None,Unknown,15-06-2018},15:22},None,,,,,2,4,adult,56kg,113cm,146cm,Sun Nov 29 2015 17:25:18 GMT+0000 (Greenwich Mean Time),None,None,82,Yes,None,None,None,,Wed Nov 09 2011 01:19:36 GMT+0000 (Greenwich Mean Time),
39c3d615-12b7-4d9d-ac14-115762c69370,Eagle,Deer,Reptilia,Bengal,MVS-NB,MVS-CA,Sat Sep 07 2013 23:56:14 GMT+0100 (British Summer Time),None,Unknown,25-05-2011},11:27},None,,,,,5,2,neonate,76kg,24cm,121cm,Tue Jan 17 2012 19:45:09 GMT+0000 (Greenwich Mean Time),None,None,132,Yes,None,None,None,,Fri Sep 04 2020 14:57:43 GMT+0100 (British Summer Time),
74db8c29-2ad4-4730-b8b2-95f3f0bee028,Tiger,Reptile,Mamalia,Bengal,MVS-NB,MVS-EA,Fri Sep 04 2015 08:09:01 GMT+0100 (British Summer Time),None,Unknown,24-12-2013},20:33},None,,,,,11,2,neonate,146kg,66cm,107cm,Tue Jan 30 2018 13:01:01 GMT+0000 (Greenwich Mean Time),None,None,122,Yes,None,None,None,,Mon Oct 31 2011 15:11:09 GMT+0000 (Greenwich Mean Time),
84e15735-2100-48c1-8dc4-cd0b7944ccbc,Reptile,Deer,Mamalia,Bombay,MVS-EA,MVS-NB,Mon Dec 09 2019 11:46:34 GMT+0000 (Greenwich Mean Time),None,Unknown,30-08-2020},09:45},None,,,,,10,2,subadult,137kg,132cm,120cm,Tue Aug 11 2020 01:00:23 GMT+0100 (British Summer Time),None,None,90,Yes,None,None,None,,Thu Jan 09 2014 08:12:01 GMT+0000 (Greenwich Mean Time),
47c484e7-1ba2-489a-a9b9-10cc2f26ab15,Elephant,Owl,Mamalia,Bombay,MVS-CA,MVS-CA,Mon Aug 05 2019 17:28:05 GMT+0100 (British Summer Time),None,Unknown,15-08-2017},00:35},None,,,,,12,8,subadult,108kg,106cm,82cm,Fri Jan 04 2019 06:26:07 GMT+0000 (Greenwich Mean Time),None,None,83,Yes,None,None,None,,Mon May 05 2014 00:59:35 GMT+0100 (British Summer Time),
